name,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Japan,JPN,4,14,24,32,34,38,48,50,52,60,66,76,80,92,98,102,106,112,126,132,140,150,162,168,190,198,208,218,222,232,236,246,260,278,300,320,334,342,352,370,378,386,398
Jordan,JOR,0,0,0,0,0,0,0,2,2,2,2,6,8,8,8,8,8,10,10,12,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24
"Kazakhstan, Rep. of",KAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,8,8,8,10,14,14,14,16,18,18,18,20,20,24,26,30,30,32,34,34,36,38,38,40,42,42
Kenya,KEN,0,0,2,4,4,4,4,4,6,6,8,10,10,10,12,12,16,18,20,22,22,24,34,38,44,52,60,68,84,88,96,104,106,114,116,122,128,130,136,142,146,148,148
Kiribati,KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,6,8,8,8,8,8,8,8,8
"Korea, Dem. People's Rep. of",PRK,0,0,0,0,0,0,0,4,4,4,4,4,4,6,6,10,12,16,18,20,22,26,30,30,34,36,40,44,44,44,50,56,62,64,64,68,72,74,80,84,86,88,88
"Korea, Rep. of",KOR,4,8,12,12,16,18,20,26,28,30,36,40,44,48,50,54,58,62,70,74,84,92,100,102,116,126,128,132,134,134,136,142,148,148,154,154,158,158,160,168,178,180,188
Kuwait,KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4
Kyrgyz Rep.,KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,6,8,8,10,12,18,20,22,24,24,26,28,28,32,32,34,34,34,36,36,36,36,38,40
Lao People's Dem. Rep.,LAO,0,2,2,2,4,4,4,6,8,8,8,14,18,20,22,28,30,30,30,32,34,36,38,38,38,38,38,38,40,44,44,48,48,52,54,58,60,62,68,72,76,78,80
Latvia,LVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,6,6,12,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16
Lebanon,LBN,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,6,8,8,8,8,10,10,10,10,10,10,10,10,16,16,16,18,20,22,22,22
"Lesotho, Kingdom of",LSO,0,0,0,2,2,4,4,6,6,8,12,12,12,12,12,12,14,14,14,14,14,18,20,20,20,20,20,22,24,24,24,30,30,30,32,32,34,34,34,36,38,40,40
Liberia,LBR,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,8,8,8,8,8,8,8,8,8,12,14,16,18,18,18,18,18,18,20,20,20,20,20,20,20
Libya,LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6
Lithuania,LTU,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,8,8,10,10,10,10,14,16,16,16,16,20,20,24,24,24,24,24,24,28,28,28,28,28
Luxembourg,LUX,0,0,0,2,2,2,2,2,2,2,14,14,14,16,16,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,24,24,26,26
"Madagascar, Rep. of",MDG,0,4,6,8,10,10,14,14,16,18,18,20,20,20,26,26,28,32,34,34,40,40,48,56,60,68,72,80,88,94,96,98,104,108,112,118,120,124,128,134,140,144,158
Malawi,MWI,0,0,2,2,2,2,2,4,4,6,8,10,12,12,12,16,16,18,20,22,24,28,34,38,38,44,48,58,60,60,62,68,76,78,78,84,86,88,94,100,102,104,112
Malaysia,MYS,0,0,0,2,2,2,4,6,8,8,8,8,8,10,10,14,20,24,30,32,36,44,48,54,64,70,78,82,86,90,90,94,94,96,100,102,110,118,122,130,140,156,168
Maldives,MDV,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,8,8,10,10
